ANT1,20.62,0.31,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,18.66,5.01,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-7.43,2.99,0.00,10uF,PERFECT_0402_0402
C10,11.95,3.94,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,16.75,1.82,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,14.58,3.70,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,13.82,3.71,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,8.69,3.49,90.00,4.7uF,PERFECT_0402_0402
C15,12.12,4.83,0.00,1.0uF,PERFECT_0402_0402
C16,10.80,3.92,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,7.28,3.69,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,7.04,-1.29,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-14.35,-11.32,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,14.65,4.85,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-2.38,-4.37,180.00,4.7uF/25V,PERFECT_0402_0402
C20,7.28,-3.84,180.00,4.7uF,PERFECT_0402_0402
C21,9.80,-5.61,270.00,4.7uF,PERFECT_0402_0402
C22,17.66,1.45,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-8.48,16.17,0.00,0.1uF,GRM011R60J152KE01L_1_0201
C24,-11.35,14.61,90.00,10uF,PERFECT_0402_0402
C25,-11.34,12.50,90.00,22uF,PERFECT_0402_0402
C27,-7.11,8.36,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,9.62,-11.58,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,16.97,-0.76,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-12.41,-11.68,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,-1.43,-11.42,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,16.07,-8.88,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,-10.25,10.90,0.00,22uF,PERFECT_0402_0402
C34,17.08,-12.17,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,0.05,7.52,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C38,0.07,9.37,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C39,0.07,8.44,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C4,17.69,-0.68,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,2.87,10.17,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,4.88,10.03,0.00,4.7uF,PERFECT_0402_0402
C5,8.52,1.20,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,8.01,-2.76,180.00,4.7uF,PERFECT_0402_0402
C7,12.83,-5.12,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,15.34,-5.11,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,16.83,-2.12,0.00,"820pF N.C.",NORDIC_NRF_3_RESC0201_L
D2,-5.56,-6.36,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,3.06,8.00,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,0.07,-6.23,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-6.01,-4.33,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-9.92,3.65,180.00,1uF/50V,PERFECT_0402_0402
EPD_C10,-9.83,-3.27,180.00,1uF/50V,PERFECT_0402_0402
EPD_C11,-9.83,-4.35,180.00,1uF/50V,PERFECT_0402_0402
EPD_C12,-9.83,-5.42,180.00,1uF/50V,PERFECT_0402_0402
EPD_C2,-9.92,4.70,180.00,1uF/50V,PERFECT_0402_0402
EPD_C5,-9.92,2.58,0.00,1uF/50V,PERFECT_0402_0402
EPD_C6,-9.92,1.45,180.00,1uF/50V,PERFECT_0402_0402
EPD_C7,-9.90,0.39,180.00,1uF/50V,PERFECT_0402_0402
EPD_C8,-9.83,-1.13,180.00,1uF/50V,PERFECT_0402_0402
EPD_C9,-9.81,-2.20,0.00,1uF/50V,PERFECT_0402_0402
IC1,-2.15,8.33,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,16.30,-10.53,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,-14.91,-9.62,0.00,BMA423,BMA423_BMA423
